hotel_nombre;consumo_energia_kwh;residuos_generados_kg;porcentaje_reciclaje;uso_agua_m3;fecha
GreenLake Platinum Heritage Inn;2610;1844;841;3174;2019-01-02
Pointnext Signature Residences & Suites;3194;1679;601;4796;2019-01-02
ProLiant Place;1628;1353;828;4092;2019-01-02
Synergy Golden Grand Hotel;3713;1747;639;3585;2019-01-02
Alletra Resort;1182;1604;831;4704;2019-01-02
GreenLake Digital Business Suites;2501;1344;554;3399;2019-01-02
Apollo Resort & Spa;3561;1070;662;3725;2019-01-02
Nimble Inn;1625;1575;924;4370;2019-01-02
Ezmeral Grand Hotel;1719;1111;576;3534;2019-01-02
Alletra Boutique Hotel;1362;1976;525;3076;2019-01-02
Simplivity Golden Plaza Hotel;1159;1374;612;3486;2019-01-02
Cray Villas;1447;1973;519;4815;2019-01-02
Apollo Diamond Suites;2131;1919;541;3060;2019-01-02
Apollo Towers;3668;1588;940;4012;2019-01-02
Alletra Diamond Grand Hotel;2022;1705;946;3450;2019-01-03
ProLiant Towers;1810;1654;514;4691;2019-01-03
Aruba Luxury Lodge;1758;1040;642;3458;2019-01-03
InfoSight Boutique Hotel;3194;1483;642;4647;2019-01-03
Primera Grand;3480;1338;946;4321;2019-01-03
dHCI Executive Boutique Hotel;1309;1759;568;3119;2019-01-03
ProLiant Haven;2661;1906;840;3838;2019-01-03
Apollo Executive Beach Resort;1823;1110;748;4448;2019-01-03
Aruba Lodge;1959;1170;576;3112;2019-01-03
Alletra Haven;2119;1652;827;3544;2019-01-03
dHCI Platinum Beach Resort;3115;1395;627;4470;2019-01-03
GreenLake Platinum Heritage Inn;3342;1446;908;3070;2019-01-03
Pointnext Signature Residences & Suites;2296;1757;555;4802;2019-01-03
ProLiant Place;1614;1942;698;4360;2019-01-03
Synergy Golden Grand Hotel;3616;1964;688;4768;2019-01-03
Alletra Resort;2213;1220;687;4048;2019-01-03
GreenLake Digital Business Suites;2775;1739;503;4736;2019-01-03
Apollo Resort & Spa;1165;1333;682;4572;2019-01-03
Nimble Inn;1421;1970;761;4089;2019-01-03
Ezmeral Grand Hotel;2464;1074;775;3630;2019-01-03
Alletra Boutique Hotel;1613;1281;582;3397;2019-01-03
Simplivity Golden Plaza Hotel;1577;1092;887;3371;2019-01-03
Cray Villas;2448;1879;907;3150;2019-01-03
Apollo Diamond Suites;3903;1881;559;3035;2019-01-03
Apollo Towers;1624;1901;908;3832;2019-01-03
Alletra Diamond Grand Hotel;3108;1430;948;4005;2019-01-04
ProLiant Towers;2503;1749;872;3395;2019-01-04
Aruba Luxury Lodge;3496;1263;726;3280;2019-01-04
InfoSight Boutique Hotel;2906;1636;926;3951;2019-01-04
Primera Grand;3560;1601;662;3489;2019-01-04
dHCI Executive Boutique Hotel;3437;1891;574;4543;2019-01-04
ProLiant Haven;3143;1140;504;3106;2019-01-04
Apollo Executive Beach Resort;1402;1245;575;4966;2019-01-04
Aruba Lodge;3085;1402;710;4353;2019-01-04
Alletra Haven;3268;1988;500;3663;2019-01-04
dHCI Platinum Beach Resort;1920;1291;935;3132;2019-01-04
GreenLake Platinum Heritage Inn;2383;1446;565;3314;2019-01-04
Pointnext Signature Residences & Suites;3157;1051;881;4850;2019-01-04
ProLiant Place;3407;1493;840;4276;2019-01-04
Synergy Golden Grand Hotel;3835;1988;719;3179;2019-01-04
Alletra Resort;2698;1473;616;3832;2019-01-04
GreenLake Digital Business Suites;1345;1884;825;3910;2019-01-04
Apollo Resort & Spa;2107;1025;880;3934;2019-01-04
Nimble Inn;3849;1352;705;3309;2019-01-04
Ezmeral Grand Hotel;3570;1062;916;4810;2019-01-04
Alletra Boutique Hotel;2415;1471;642;3414;2019-01-04
Simplivity Golden Plaza Hotel;1928;1303;906;4945;2019-01-04
Cray Villas;2818;1140;521;3026;2019-01-04
Apollo Diamond Suites;1376;1586;897;3594;2019-01-04
Apollo Towers;2376;1432;778;3752;2019-01-04
Alletra Diamond Grand Hotel;1204;1373;900;4028;2019-01-05
ProLiant Towers;1331;1728;647;3615;2019-01-05
Aruba Luxury Lodge;2293;1000;855;3676;2019-01-05
InfoSight Boutique Hotel;1200;1830;768;3700;2019-01-05
Primera Grand;1665;1898;713;3740;2019-01-05
dHCI Executive Boutique Hotel;1656;1107;918;3257;2019-01-05
ProLiant Haven;3410;1780;922;4870;2019-01-05
Apollo Executive Beach Resort;2123;1333;698;4813;2019-01-05
Aruba Lodge;1701;1069;581;4322;2019-01-05
Alletra Haven;2268;1230;775;3038;2019-01-05
dHCI Platinum Beach Resort;2297;1261;944;3127;2019-01-05
GreenLake Platinum Heritage Inn;3836;1980;767;4740;2019-01-05
Pointnext Signature Residences & Suites;1482;1763;904;3070;2019-01-05
ProLiant Place;2807;1384;861;3268;2019-01-05
Synergy Golden Grand Hotel;2901;1840;534;4553;2019-01-05
Alletra Resort;1394;1108;578;4999;2019-01-05
GreenLake Digital Business Suites;3337;1542;762;4549;2019-01-05
Apollo Resort & Spa;2004;1031;594;4310;2019-01-05
Nimble Inn;2713;1887;912;4869;2019-01-05
Ezmeral Grand Hotel;2730;1781;881;4801;2019-01-05
Alletra Boutique Hotel;1812;1668;634;4669;2019-01-05
Simplivity Golden Plaza Hotel;2262;1260;613;3486;2019-01-05
Cray Villas;1682;1997;628;4378;2019-01-05
Apollo Diamond Suites;3483;1961;576;3504;2019-01-05
Apollo Towers;1964;1976;652;3462;2019-01-05
Alletra Diamond Grand Hotel;3660;1966;916;3912;2019-01-06
ProLiant Towers;3529;1981;771;4009;2019-01-06
Aruba Luxury Lodge;3867;1129;512;3411;2019-01-06
InfoSight Boutique Hotel;1516;1210;581;4796;2019-01-06
Primera Grand;3330;1739;876;4131;2019-01-06
dHCI Executive Boutique Hotel;3012;1898;653;4639;2019-01-06
ProLiant Haven;3659;1427;792;4704;2019-01-06
Apollo Executive Beach Resort;1830;1113;759;3342;2019-01-06
Aruba Lodge;2160;1446;739;3287;2019-01-06
Alletra Haven;1594;1826;506;4550;2019-01-06
dHCI Platinum Beach Resort;1322;2000;869;4391;2019-01-06
GreenLake Platinum Heritage Inn;1171;1325;792;4060;2019-01-06
Pointnext Signature Residences & Suites;2736;1298;532;4970;2019-01-06
ProLiant Place;3180;1381;582;4211;2019-01-06
Synergy Golden Grand Hotel;1696;1806;555;3825;2019-01-06
Alletra Resort;1973;1513;835;4842;2019-01-06
GreenLake Digital Business Suites;2154;1248;840;4380;2019-01-06
Apollo Resort & Spa;2418;1079;747;4941;2019-01-06
Nimble Inn;3495;1427;790;3178;2019-01-06
Ezmeral Grand Hotel;1493;1029;760;3186;2019-01-06
Alletra Boutique Hotel;2932;1802;816;4634;2019-01-06
Simplivity Golden Plaza Hotel;3920;1146;749;3831;2019-01-06
Cray Villas;2668;1930;895;4825;2019-01-06
Apollo Diamond Suites;1867;1890;865;3506;2019-01-06
Apollo Towers;3713;1970;601;3370;2019-01-06
Alletra Diamond Grand Hotel;3581;1565;513;3202;2019-01-07
ProLiant Towers;3371;1131;748;4706;2019-01-07
Aruba Luxury Lodge;3591;1293;578;3006;2019-01-07
InfoSight Boutique Hotel;2192;1140;574;3351;2019-01-07
Primera Grand;2772;1354;502;4081;2019-01-07
dHCI Executive Boutique Hotel;2553;1786;795;4582;2019-01-07
ProLiant Haven;3639;1604;675;3113;2019-01-07
Apollo Executive Beach Resort;3739;1950;505;4994;2019-01-07
Aruba Lodge;3453;1973;685;3271;2019-01-07
Alletra Haven;3297;1759;673;4454;2019-01-07
dHCI Platinum Beach Resort;2975;1127;606;4562;2019-01-07
GreenLake Platinum Heritage Inn;1952;1155;684;3610;2019-01-07
Pointnext Signature Residences & Suites;2119;1830;854;4404;2019-01-07
ProLiant Place;1788;1209;738;4928;2019-01-07
Synergy Golden Grand Hotel;1120;1150;912;3682;2019-01-07
Alletra Resort;2123;1812;763;4392;2019-01-07
GreenLake Digital Business Suites;2010;1439;633;3617;2019-01-07
Apollo Resort & Spa;2842;1582;615;3386;2019-01-07
Nimble Inn;3600;1898;547;3840;2019-01-07
Ezmeral Grand Hotel;1760;1019;672;3411;2019-01-07
Alletra Boutique Hotel;3904;1332;720;3027;2019-01-07
Simplivity Golden Plaza Hotel;3302;1356;853;3896;2019-01-07
Cray Villas;2064;1536;576;3383;2019-01-07
Apollo Diamond Suites;3391;1283;819;3068;2019-01-07
Apollo Towers;2906;1568;741;3228;2019-01-07
Alletra Diamond Grand Hotel;1871;1789;706;4958;2019-01-08
ProLiant Towers;3853;1117;884;3323;2019-01-08
Aruba Luxury Lodge;3717;1871;537;4356;2019-01-08
InfoSight Boutique Hotel;3688;1677;937;3448;2019-01-08
Primera Grand;2651;1376;808;3554;2019-01-08
dHCI Executive Boutique Hotel;1561;1645;577;3204;2019-01-08
ProLiant Haven;3683;1132;858;3947;2019-01-08
Apollo Executive Beach Resort;3787;1894;667;4228;2019-01-08
Aruba Lodge;1536;1260;673;3348;2019-01-08
Alletra Haven;1024;1567;944;4920;2019-01-08
dHCI Platinum Beach Resort;3818;1799;687;3382;2019-01-08
GreenLake Platinum Heritage Inn;2494;1052;930;3802;2019-01-08
Pointnext Signature Residences & Suites;1614;1181;585;4305;2019-01-08
ProLiant Place;1379;1024;656;4422;2019-01-08
Synergy Golden Grand Hotel;1963;1307;840;3246;2019-01-08
Alletra Resort;3254;1293;704;4687;2019-01-08
GreenLake Digital Business Suites;2005;1470;702;3687;2019-01-08
Apollo Resort & Spa;1091;1092;525;4495;2019-01-08
Nimble Inn;2887;1357;776;3704;2019-01-08
Ezmeral Grand Hotel;2255;1681;697;3022;2019-01-08
Alletra Boutique Hotel;2154;1878;726;3257;2019-01-08
Simplivity Golden Plaza Hotel;1023;1106;857;3391;2019-01-08
Cray Villas;1145;1202;902;3678;2019-01-08
Apollo Diamond Suites;2833;1342;578;4371;2019-01-08
Apollo Towers;3970;1157;796;3501;2019-01-08
Alletra Diamond Grand Hotel;1677;1814;795;4248;2019-01-09
ProLiant Towers;2681;1566;841;3157;2019-01-09
Aruba Luxury Lodge;1712;1053;627;3571;2019-01-09
InfoSight Boutique Hotel;1475;1549;502;4014;2019-01-09
Primera Grand;3408;1213;685;3304;2019-01-09
dHCI Executive Boutique Hotel;3186;1271;735;4504;2019-01-09
ProLiant Haven;1340;1502;709;4388;2019-01-09
Apollo Executive Beach Resort;2344;1381;569;3683;2019-01-09
Aruba Lodge;3659;1855;859;4704;2019-01-09
Alletra Haven;3785;1589;914;4470;2019-01-09
dHCI Platinum Beach Resort;1039;1882;545;3943;2019-01-09
GreenLake Platinum Heritage Inn;1780;1518;918;4787;2019-01-09
Pointnext Signature Residences & Suites;2023;1299;501;4119;2019-01-09
ProLiant Place;2982;1413;864;3718;2019-01-09
Synergy Golden Grand Hotel;1191;1376;920;3486;2019-01-09
Alletra Resort;2010;1646;769;3320;2019-01-09
GreenLake Digital Business Suites;1125;1987;869;4747;2019-01-09
Apollo Resort & Spa;1242;1252;523;4954;2019-01-09
Nimble Inn;3978;1568;913;4531;2019-01-09
Ezmeral Grand Hotel;3248;1434;741;3391;2019-01-09
Alletra Boutique Hotel;1495;1929;638;4481;2019-01-09
Simplivity Golden Plaza Hotel;2307;1901;728;4339;2019-01-09
Cray Villas;3710;1850;706;3193;2019-01-09
Apollo Diamond Suites;3947;1174;593;3150;2019-01-09
Apollo Towers;3979;1706;842;3446;2019-01-09
Alletra Diamond Grand Hotel;3994;1581;703;4235;2019-01-10
ProLiant Towers;2366;1812;813;4471;2019-01-10
Aruba Luxury Lodge;1976;1016;804;4786;2019-01-10
InfoSight Boutique Hotel;2901;1881;522;3985;2019-01-10
Primera Grand;1343;1953;537;3680;2019-01-10
dHCI Executive Boutique Hotel;3174;1832;620;4009;2019-01-10
ProLiant Haven;3493;1912;931;4844;2019-01-10
Apollo Executive Beach Resort;3471;1630;893;4539;2019-01-10
Aruba Lodge;3575;1088;745;4161;2019-01-10
Alletra Haven;1277;1204;710;3250;2019-01-10
dHCI Platinum Beach Resort;2334;1755;612;4075;2019-01-10
GreenLake Platinum Heritage Inn;3310;1614;564;4674;2019-01-10
Pointnext Signature Residences & Suites;1966;1549;607;3003;2019-01-10
ProLiant Place;2119;1111;835;4055;2019-01-10
Synergy Golden Grand Hotel;2142;1071;823;3999;2019-01-10
Alletra Resort;1535;1686;946;3871;2019-01-10
GreenLake Digital Business Suites;3858;1499;924;4833;2019-01-10
Apollo Resort & Spa;1886;1267;536;3684;2019-01-10
Nimble Inn;3459;1948;910;3355;2019-01-10
Ezmeral Grand Hotel;3075;1075;584;3067;2019-01-10
Alletra Boutique Hotel;2610;1042;619;4068;2019-01-10
Simplivity Golden Plaza Hotel;2712;1988;611;4769;2019-01-10
Cray Villas;1663;1776;911;4851;2019-01-10
Apollo Diamond Suites;2192;1018;670;3388;2019-01-10
Apollo Towers;2684;1042;536;4699;2019-01-10
Alletra Diamond Grand Hotel;1369;1550;748;4432;2019-01-11
ProLiant Towers;2719;1622;875;4861;2019-01-11
Aruba Luxury Lodge;1964;1210;818;3508;2019-01-11
InfoSight Boutique Hotel;2364;1733;890;4655;2019-01-11
Primera Grand;1249;1129;879;3098;2019-01-11
dHCI Executive Boutique Hotel;3552;1882;926;4257;2019-01-11
ProLiant Haven;3779;1452;806;4452;2019-01-11
Apollo Executive Beach Resort;3445;1734;610;3034;2019-01-11
Aruba Lodge;3692;1265;529;4960;2019-01-11
Alletra Haven;2697;1777;610;4037;2019-01-11
dHCI Platinum Beach Resort;1790;1642;681;4753;2019-01-11
GreenLake Platinum Heritage Inn;2466;1880;919;3259;2019-01-11
Pointnext Signature Residences & Suites;1479;1950;512;4545;2019-01-11
ProLiant Place;2869;1840;929;3019;2019-01-11
Synergy Golden Grand Hotel;1713;1536;656;3733;2019-01-11
Alletra Resort;1949;1699;726;3258;2019-01-11
GreenLake Digital Business Suites;3707;1409;760;4123;2019-01-11
Apollo Resort & Spa;1309;1291;534;4016;2019-01-11
Nimble Inn;1563;1648;912;4137;2019-01-11
Ezmeral Grand Hotel;3440;1766;654;4048;2019-01-11
Alletra Boutique Hotel;3839;1120;922;3775;2019-01-11
Simplivity Golden Plaza Hotel;2927;1668;869;4452;2019-01-11
Cray Villas;3528;1850;723;4616;2019-01-11
Apollo Diamond Suites;3174;1832;854;3276;2019-01-11
Apollo Towers;2693;1993;922;3914;2019-01-11
Alletra Diamond Grand Hotel;2737;1302;934;4688;2019-01-12
ProLiant Towers;2981;1809;665;4093;2019-01-12
Aruba Luxury Lodge;3303;1232;810;4549;2019-01-12
InfoSight Boutique Hotel;1235;1073;793;3264;2019-01-12
Primera Grand;2165;1962;532;3793;2019-01-12
dHCI Executive Boutique Hotel;3185;1069;848;4795;2019-01-12
ProLiant Haven;3213;1497;812;4798;2019-01-12
Apollo Executive Beach Resort;3222;1859;757;3710;2019-01-12
Aruba Lodge;1014;1057;892;4709;2019-01-12
Alletra Haven;2104;1939;777;3038;2019-01-12
dHCI Platinum Beach Resort;3548;1159;935;4031;2019-01-12
GreenLake Platinum Heritage Inn;3529;1302;864;4408;2019-01-12
Pointnext Signature Residences & Suites;3741;1975;864;3901;2019-01-12
ProLiant Place;3432;1041;629;4864;2019-01-12
Synergy Golden Grand Hotel;3033;1610;879;4649;2019-01-12
Alletra Resort;2641;1088;633;4167;2019-01-12
GreenLake Digital Business Suites;3657;1028;914;4198;2019-01-12
Apollo Resort & Spa;3645;1753;647;4592;2019-01-12
Nimble Inn;2627;1556;673;4533;2019-01-12
Ezmeral Grand Hotel;1119;1093;594;4226;2019-01-12
Alletra Boutique Hotel;3037;1546;671;4906;2019-01-12
Simplivity Golden Plaza Hotel;2794;1480;694;3000;2019-01-12
Cray Villas;1128;1629;648;4454;2019-01-12
Apollo Diamond Suites;2247;1180;854;3672;2019-01-12
Apollo Towers;1162;1769;739;3919;2019-01-12
Alletra Diamond Grand Hotel;3522;1067;798;3717;2019-01-13
ProLiant Towers;1617;1981;568;4667;2019-01-13
Aruba Luxury Lodge;3933;1878;871;4303;2019-01-13
InfoSight Boutique Hotel;1924;1803;541;4527;2019-01-13
Primera Grand;3535;1851;895;4542;2019-01-13
dHCI Executive Boutique Hotel;1146;1238;635;3582;2019-01-13
ProLiant Haven;2612;1834;695;3904;2019-01-13
Apollo Executive Beach Resort;1654;1112;771;3378;2019-01-13
Aruba Lodge;1841;1078;927;4100;2019-01-13
Alletra Haven;1997;1821;866;3162;2019-01-13
dHCI Platinum Beach Resort;3793;1573;794;4801;2019-01-13
GreenLake Platinum Heritage Inn;1936;1116;533;3237;2019-01-13
Pointnext Signature Residences & Suites;2566;1559;542;4221;2019-01-13
ProLiant Place;1821;1511;641;4916;2019-01-13
Synergy Golden Grand Hotel;3253;1612;941;4974;2019-01-13
Alletra Resort;2663;1147;662;4942;2019-01-13
GreenLake Digital Business Suites;2801;1899;586;4801;2019-01-13
Apollo Resort & Spa;3356;1285;660;4860;2019-01-13
Nimble Inn;3844;1882;644;4012;2019-01-13
Ezmeral Grand Hotel;3099;1231;853;3126;2019-01-13
Alletra Boutique Hotel;2135;1949;779;3352;2019-01-13
Simplivity Golden Plaza Hotel;3447;1410;721;3241;2019-01-13
Cray Villas;1882;1852;814;4988;2019-01-13
Apollo Diamond Suites;2117;1879;512;3287;2019-01-13
Apollo Towers;2487;1161;760;4111;2019-01-13
Alletra Diamond Grand Hotel;1893;1108;900;4199;2019-01-14
ProLiant Towers;1390;1784;892;3526;2019-01-14
Aruba Luxury Lodge;2140;1785;619;4661;2019-01-14
InfoSight Boutique Hotel;2135;1645;869;4473;2019-01-14
Primera Grand;1132;1614;709;3330;2019-01-14
dHCI Executive Boutique Hotel;1532;1355;889;3269;2019-01-14
ProLiant Haven;1058;1611;616;4384;2019-01-14
Apollo Executive Beach Resort;1739;1481;777;4256;2019-01-14
Aruba Lodge;1036;1627;927;4762;2019-01-14
Alletra Haven;3408;1104;705;3983;2019-01-14
dHCI Platinum Beach Resort;3288;1458;865;3236;2019-01-14
GreenLake Platinum Heritage Inn;2713;1486;637;4362;2019-01-14
Pointnext Signature Residences & Suites;2944;1806;871;3130;2019-01-14
ProLiant Place;3923;1180;846;3297;2019-01-14
Synergy Golden Grand Hotel;1444;1352;758;4457;2019-01-14
Alletra Resort;2252;1642;847;3388;2019-01-14
GreenLake Digital Business Suites;1202;1872;578;4726;2019-01-14
Apollo Resort & Spa;3549;1005;877;4052;2019-01-14
Nimble Inn;1057;1900;618;3273;2019-01-14
Ezmeral Grand Hotel;1042;1249;707;3740;2019-01-14
Alletra Boutique Hotel;2976;1069;659;3976;2019-01-14
Simplivity Golden Plaza Hotel;1047;1406;557;3884;2019-01-14
Cray Villas;3696;1300;848;3527;2019-01-14
Apollo Diamond Suites;2564;1516;579;3958;2019-01-14
Apollo Towers;2514;1255;731;3861;2019-01-14
Alletra Diamond Grand Hotel;1477;1619;609;3778;2019-01-15
ProLiant Towers;1976;1713;840;4595;2019-01-15
Aruba Luxury Lodge;3347;1519;590;3906;2019-01-15
InfoSight Boutique Hotel;3803;1233;614;3440;2019-01-15
Primera Grand;1233;1800;553;4720;2019-01-15
dHCI Executive Boutique Hotel;2317;1716;820;3158;2019-01-15
ProLiant Haven;1609;1484;895;3215;2019-01-15
Apollo Executive Beach Resort;1705;1831;781;3962;2019-01-15
Aruba Lodge;3745;1831;717;4596;2019-01-15
Alletra Haven;2974;1337;902;3630;2019-01-15
dHCI Platinum Beach Resort;2917;1247;816;4866;2019-01-15
GreenLake Platinum Heritage Inn;1249;1316;843;4306;2019-01-15
Pointnext Signature Residences & Suites;1111;1475;778;4565;2019-01-15
ProLiant Place;3500;1105;585;4704;2019-01-15
Synergy Golden Grand Hotel;1532;1465;554;4451;2019-01-15
Alletra Resort;2766;1717;594;4723;2019-01-15
GreenLake Digital Business Suites;1913;1411;808;3394;2019-01-15
Apollo Resort & Spa;3005;1511;808;4049;2019-01-15
Nimble Inn;1922;1352;709;3755;2019-01-15
Ezmeral Grand Hotel;3916;1155;605;3348;2019-01-15
Alletra Boutique Hotel;3906;1845;512;4925;2019-01-15
Simplivity Golden Plaza Hotel;1446;1272;729;3079;2019-01-15
Cray Villas;1696;1128;816;4065;2019-01-15
Apollo Diamond Suites;3612;1372;809;3994;2019-01-15
Apollo Towers;2507;1563;622;3635;2019-01-15
Alletra Diamond Grand Hotel;1679;1729;828;4529;2019-01-16
ProLiant Towers;3207;1757;535;4589;2019-01-16
Aruba Luxury Lodge;1615;1337;855;4091;2019-01-16
InfoSight Boutique Hotel;3574;1701;869;4113;2019-01-16
Primera Grand;3318;1351;944;4001;2019-01-16
dHCI Executive Boutique Hotel;3841;1708;625;4413;2019-01-16
ProLiant Haven;2922;1500;583;3183;2019-01-16
Apollo Executive Beach Resort;2146;1917;596;4827;2019-01-16
Aruba Lodge;1319;1114;886;3620;2019-01-16
Alletra Haven;2221;1986;894;4726;2019-01-16
dHCI Platinum Beach Resort;1370;1804;810;4732;2019-01-16
GreenLake Platinum Heritage Inn;2962;1816;728;3656;2019-01-16
Pointnext Signature Residences & Suites;2240;1187;661;4402;2019-01-16
ProLiant Place;3869;1188;712;3885;2019-01-16
Synergy Golden Grand Hotel;2656;1702;890;4326;2019-01-16
Alletra Resort;3484;1452;765;3065;2019-01-16
GreenLake Digital Business Suites;2180;1086;923;4475;2019-01-16
Apollo Resort & Spa;3339;1293;739;3453;2019-01-16
Nimble Inn;3405;1268;557;4968;2019-01-16
Ezmeral Grand Hotel;3648;1993;753;3758;2019-01-16
Alletra Boutique Hotel;1487;1402;744;4532;2019-01-16
Simplivity Golden Plaza Hotel;1238;1397;616;4535;2019-01-16
Cray Villas;1892;1159;516;4133;2019-01-16
Apollo Diamond Suites;1326;1178;550;3083;2019-01-16
Apollo Towers;1900;1759;800;4597;2019-01-16
Alletra Diamond Grand Hotel;2391;1064;899;3672;2019-01-17
ProLiant Towers;1125;1728;544;3163;2019-01-17
Aruba Luxury Lodge;1840;1801;835;3128;2019-01-17
InfoSight Boutique Hotel;2083;1827;900;4925;2019-01-17
Primera Grand;3508;1101;794;4505;2019-01-17
dHCI Executive Boutique Hotel;2787;1184;609;3116;2019-01-17
ProLiant Haven;2012;1163;898;4752;2019-01-17
Apollo Executive Beach Resort;2401;1395;758;3159;2019-01-17
Aruba Lodge;1716;1951;612;4557;2019-01-17
Alletra Haven;3919;1831;787;3894;2019-01-17
dHCI Platinum Beach Resort;3970;1120;662;3577;2019-01-17
GreenLake Platinum Heritage Inn;1076;1194;664;4230;2019-01-17
Pointnext Signature Residences & Suites;2977;1291;637;3093;2019-01-17
ProLiant Place;2581;1235;786;3272;2019-01-17
Synergy Golden Grand Hotel;3209;1934;805;4081;2019-01-17
Alletra Resort;2678;1141;863;3189;2019-01-17
GreenLake Digital Business Suites;2171;1094;830;4605;2019-01-17
Apollo Resort & Spa;3529;1154;577;4291;2019-01-17
Nimble Inn;1594;1896;938;4304;2019-01-17
Ezmeral Grand Hotel;2559;1320;704;3559;2019-01-17
Alletra Boutique Hotel;3793;1812;823;4997;2019-01-17
Simplivity Golden Plaza Hotel;2938;1187;684;3906;2019-01-17
Cray Villas;1828;1543;675;3485;2019-01-17
Apollo Diamond Suites;2294;1948;882;3307;2019-01-17
Apollo Towers;2284;1558;714;4286;2019-01-17
Alletra Diamond Grand Hotel;2743;1173;742;4329;2019-01-18
ProLiant Towers;1775;1380;648;3068;2019-01-18
Aruba Luxury Lodge;3592;1101;923;4282;2019-01-18
InfoSight Boutique Hotel;1347;1964;717;3026;2019-01-18
Primera Grand;2839;1613;623;3433;2019-01-18
dHCI Executive Boutique Hotel;1458;1054;574;3903;2019-01-18
ProLiant Haven;2236;1615;877;4934;2019-01-18
Apollo Executive Beach Resort;1217;1733;685;4042;2019-01-18
Aruba Lodge;2803;1956;541;4608;2019-01-18
Alletra Haven;2458;1126;807;4338;2019-01-18
dHCI Platinum Beach Resort;2515;1044;782;3434;2019-01-18
GreenLake Platinum Heritage Inn;3894;1582;900;3201;2019-01-18
Pointnext Signature Residences & Suites;1012;1155;790;3195;2019-01-18
ProLiant Place;3293;1655;929;4316;2019-01-18
Synergy Golden Grand Hotel;2935;1962;933;4082;2019-01-18
Alletra Resort;3340;1191;522;4114;2019-01-18
GreenLake Digital Business Suites;1285;1761;907;4766;2019-01-18
Apollo Resort & Spa;2025;1284;866;4653;2019-01-18
Nimble Inn;3099;1503;738;4656;2019-01-18
Ezmeral Grand Hotel;3318;1891;788;3030;2019-01-18
Alletra Boutique Hotel;2265;1040;707;4289;2019-01-18
Simplivity Golden Plaza Hotel;2822;1287;610;4338;2019-01-18
Cray Villas;3510;1223;906;3522;2019-01-18
Apollo Diamond Suites;2613;1690;800;4191;2019-01-18
Apollo Towers;2055;1132;750;4311;2019-01-18
Alletra Diamond Grand Hotel;2553;1872;920;4921;2019-01-19
ProLiant Towers;3082;1635;548;4480;2019-01-19
Aruba Luxury Lodge;2531;1189;525;3822;2019-01-19
InfoSight Boutique Hotel;1778;1465;773;3305;2019-01-19
Primera Grand;3937;1264;783;3900;2019-01-19
dHCI Executive Boutique Hotel;2764;1825;759;3048;2019-01-19
ProLiant Haven;3130;1028;772;3981;2019-01-19
Apollo Executive Beach Resort;2410;1966;791;4608;2019-01-19
Aruba Lodge;2489;1659;544;3085;2019-01-19
Alletra Haven;1352;1943;659;4560;2019-01-19
dHCI Platinum Beach Resort;3591;1417;607;3025;2019-01-19
GreenLake Platinum Heritage Inn;2601;1822;938;3059;2019-01-19
Pointnext Signature Residences & Suites;2817;1596;532;4588;2019-01-19
