hotel_nombre;fecha;tasa_ocupacion;reservas_confirmadas;cancelaciones;precio_promedio_noche
GreenLake Digital Business Suites;05/01/2019;63;275;20;12295
Apollo Resort & Spa;05/01/2019;68;262;22;24214
Nimble Inn;05/01/2019;42;142;12;11345
Ezmeral Grand Hotel;05/01/2019;42;197;29;10527
Alletra Boutique Hotel;05/01/2019;54;267;25;2079
Simplivity Golden Plaza Hotel;05/01/2019;61;205;19;23292
Cray Villas;05/01/2019;69;160;17;16854
Apollo Diamond Suites;05/01/2019;48;99;17;1360
Apollo Towers;05/01/2019;44;202;33;17968
Alletra Diamond Grand Hotel;06/01/2019;73;309;54;25483
ProLiant Towers;06/01/2019;62;236;24;19094
Aruba Luxury Lodge;06/01/2019;58;233;36;18447
InfoSight Boutique Hotel;06/01/2019;63;244;45;19444
Primera Grand;06/01/2019;51;107;11;1144
dHCI Executive Boutique Hotel;06/01/2019;68;202;22;14531
ProLiant Haven;06/01/2019;68;314;32;18624
Apollo Executive Beach Resort;06/01/2019;45;124;21;13837
Aruba Lodge;06/01/2019;64;271;27;12874
Alletra Haven;06/01/2019;66;159;31;22954
dHCI Platinum Beach Resort;06/01/2019;68;335;65;22742
GreenLake Platinum Heritage Inn;06/01/2019;47;205;10;14744
Pointnext Signature Residences & Suites;06/01/2019;54;216;32;16713
ProLiant Place;06/01/2019;71;342;22;1542
Synergy Golden Grand Hotel;06/01/2019;44;204;27;17454
Alletra Resort;06/01/2019;52;113;19;19658
GreenLake Digital Business Suites;06/01/2019;54;174;12;2062
Apollo Resort & Spa;06/01/2019;51;119;10;15583
Nimble Inn;06/01/2019;54;168;32;17922
Ezmeral Grand Hotel;06/01/2019;58;218;34;21071
Alletra Boutique Hotel;06/01/2019;56;252;35;21117
Simplivity Golden Plaza Hotel;06/01/2019;43;175;14;13124
Cray Villas;06/01/2019;47;108;16;14818
Apollo Diamond Suites;06/01/2019;60;130;11;22618
Apollo Towers;06/01/2019;72;163;13;21409
Alletra Diamond Grand Hotel;07/01/2019;30;64;6;13933
ProLiant Towers;07/01/2019;55;203;12;18917
Aruba Luxury Lodge;07/01/2019;36;135;23;10278
InfoSight Boutique Hotel;07/01/2019;54;131;24;10431
Primera Grand;07/01/2019;57;282;55;16858
dHCI Executive Boutique Hotel;07/01/2019;55;138;20;10784
ProLiant Haven;07/01/2019;30;92;15;11533
Apollo Executive Beach Resort;07/01/2019;30;75;4;1245
Aruba Lodge;07/01/2019;46;107;6;13724
Alletra Haven;07/01/2019;41;145;9;13231
dHCI Platinum Beach Resort;07/01/2019;60;230;36;21905
GreenLake Platinum Heritage Inn;07/01/2019;51;181;21;19933
Pointnext Signature Residences & Suites;07/01/2019;31;154;27;10743
ProLiant Place;07/01/2019;33;114;21;8785
Synergy Golden Grand Hotel;07/01/2019;32;94;6;9008
Alletra Resort;07/01/2019;49;191;25;13087
GreenLake Digital Business Suites;07/01/2019;49;175;20;15833
Apollo Resort & Spa;07/01/2019;33;144;9;12621
Nimble Inn;07/01/2019;58;249;39;13294
Ezmeral Grand Hotel;07/01/2019;44;205;22;16681
Alletra Boutique Hotel;07/01/2019;42;136;8;12785
Simplivity Golden Plaza Hotel;07/01/2019;51;140;27;17106
Cray Villas;07/01/2019;45;99;17;10339
Apollo Diamond Suites;07/01/2019;33;139;14;9159
Apollo Towers;07/01/2019;31;116;15;10144
Alletra Diamond Grand Hotel;08/01/2019;33;106;19;14511
ProLiant Towers;08/01/2019;43;197;31;17628
Aruba Luxury Lodge;08/01/2019;49;143;9;14873
InfoSight Boutique Hotel;08/01/2019;34;134;11;9136
Primera Grand;08/01/2019;57;209;14;13876
dHCI Executive Boutique Hotel;08/01/2019;37;163;28;15912
ProLiant Haven;08/01/2019;56;216;32;16835
Apollo Executive Beach Resort;08/01/2019;49;234;40;12521
Aruba Lodge;08/01/2019;35;98;16;14951
Alletra Haven;08/01/2019;41;82;14;13744
dHCI Platinum Beach Resort;08/01/2019;42;92;14;17363
GreenLake Platinum Heritage Inn;08/01/2019;32;135;11;10887
Pointnext Signature Residences & Suites;08/01/2019;40;98;9;11595
ProLiant Place;08/01/2019;60;222;13;11631
Synergy Golden Grand Hotel;08/01/2019;35;149;8;9071
Alletra Resort;08/01/2019;44;175;21;1329
GreenLake Digital Business Suites;08/01/2019;38;100;12;11423
Apollo Resort & Spa;08/01/2019;33;94;14;11512
Nimble Inn;08/01/2019;51;149;12;20141
Ezmeral Grand Hotel;08/01/2019;31;62;5;941
Alletra Boutique Hotel;08/01/2019;34;145;13;9216
Simplivity Golden Plaza Hotel;08/01/2019;45;190;14;12922
Cray Villas;08/01/2019;52;139;18;17148
Apollo Diamond Suites;08/01/2019;41;90;16;9447
Apollo Towers;08/01/2019;30;101;6;9878
Alletra Diamond Grand Hotel;09/01/2019;43;159;24;12892
ProLiant Towers;09/01/2019;33;106;20;9434
Aruba Luxury Lodge;09/01/2019;60;231;40;22037
InfoSight Boutique Hotel;09/01/2019;32;105;6;10988
Primera Grand;09/01/2019;42;150;16;11806
dHCI Executive Boutique Hotel;09/01/2019;40;106;17;9611
ProLiant Haven;09/01/2019;50;117;14;19059
Apollo Executive Beach Resort;09/01/2019;41;125;24;14393
Aruba Lodge;09/01/2019;34;92;6;9741
Alletra Haven;09/01/2019;49;120;19;10638
dHCI Platinum Beach Resort;09/01/2019;60;259;32;20053
GreenLake Platinum Heritage Inn;09/01/2019;54;201;30;19926
Pointnext Signature Residences & Suites;09/01/2019;50;195;28;18642
ProLiant Place;09/01/2019;50;147;17;14689
Synergy Golden Grand Hotel;09/01/2019;50;145;13;10562
Alletra Resort;09/01/2019;46;102;12;9946
GreenLake Digital Business Suites;09/01/2019;41;184;11;16187
Apollo Resort & Spa;09/01/2019;57;129;17;15083
Nimble Inn;09/01/2019;48;175;29;1840
Ezmeral Grand Hotel;09/01/2019;44;207;28;11057
Alletra Boutique Hotel;09/01/2019;49;167;12;10506
Simplivity Golden Plaza Hotel;09/01/2019;33;146;25;14784
Cray Villas;09/01/2019;32;112;8;9786
Apollo Diamond Suites;09/01/2019;44;218;28;14766
Apollo Towers;09/01/2019;41;127;11;12452
Alletra Diamond Grand Hotel;10/01/2019;40;161;9;14047
ProLiant Towers;10/01/2019;40;87;5;14427
Aruba Luxury Lodge;10/01/2019;39;107;19;16422
InfoSight Boutique Hotel;10/01/2019;49;226;22;15611
Primera Grand;10/01/2019;34;161;15;12861
dHCI Executive Boutique Hotel;10/01/2019;51;161;22;19668
ProLiant Haven;10/01/2019;39;143;20;11462
Apollo Executive Beach Resort;10/01/2019;34;136;23;13424
Aruba Lodge;10/01/2019;51;241;15;16939
Alletra Haven;10/01/2019;46;141;14;11258
dHCI Platinum Beach Resort;10/01/2019;36;108;17;9982
GreenLake Platinum Heritage Inn;10/01/2019;34;83;7;13759
Pointnext Signature Residences & Suites;10/01/2019;46;198;34;1773
ProLiant Place;10/01/2019;31;123;22;11932
Synergy Golden Grand Hotel;10/01/2019;49;153;11;18047
Alletra Resort;10/01/2019;54;209;38;18189
GreenLake Digital Business Suites;10/01/2019;31;100;15;9573
Apollo Resort & Spa;10/01/2019;44;168;27;16297
Nimble Inn;10/01/2019;37;133;12;14684
Ezmeral Grand Hotel;10/01/2019;45;212;16;15605
Alletra Boutique Hotel;10/01/2019;48;237;28;12505
Simplivity Golden Plaza Hotel;10/01/2019;42;147;16;10561
Cray Villas;10/01/2019;36;158;11;1040
Apollo Diamond Suites;10/01/2019;50;172;18;19343
Apollo Towers;10/01/2019;52;235;41;13165
Alletra Diamond Grand Hotel;11/01/2019;54;133;15;15944
ProLiant Towers;11/01/2019;56;185;35;13087
Aruba Luxury Lodge;11/01/2019;44;204;38;13051
InfoSight Boutique Hotel;11/01/2019;42;147;12;17554
Primera Grand;11/01/2019;41;109;10;9912
dHCI Executive Boutique Hotel;11/01/2019;52;205;34;11631
ProLiant Haven;11/01/2019;39;185;22;15383
Apollo Executive Beach Resort;11/01/2019;54;222;26;10457
Aruba Lodge;11/01/2019;32;65;5;9157
Alletra Haven;11/01/2019;60;250;32;12334
dHCI Platinum Beach Resort;11/01/2019;39;105;7;1076
GreenLake Platinum Heritage Inn;11/01/2019;50;219;25;11109
Pointnext Signature Residences & Suites;11/01/2019;58;202;26;18131
ProLiant Place;11/01/2019;48;130;9;13921
Synergy Golden Grand Hotel;11/01/2019;49;149;20;11736
Alletra Resort;11/01/2019;51;115;22;1079
GreenLake Digital Business Suites;11/01/2019;46;167;28;1427
Apollo Resort & Spa;11/01/2019;30;95;11;11814
Nimble Inn;11/01/2019;41;113;5;15566
Ezmeral Grand Hotel;11/01/2019;41;111;16;995
Alletra Boutique Hotel;11/01/2019;48;201;20;10226
Simplivity Golden Plaza Hotel;11/01/2019;47;141;20;17506
Cray Villas;11/01/2019;51;173;26;16544
Apollo Diamond Suites;11/01/2019;55;132;20;2088
Apollo Towers;11/01/2019;31;89;5;9337
Alletra Diamond Grand Hotel;12/01/2019;41;196;24;17211
ProLiant Towers;12/01/2019;59;162;26;13155
Aruba Luxury Lodge;12/01/2019;46;211;21;10745
InfoSight Boutique Hotel;12/01/2019;52;242;39;19504
Primera Grand;12/01/2019;52;255;31;15374
dHCI Executive Boutique Hotel;12/01/2019;72;201;12;18313
ProLiant Haven;12/01/2019;57;284;21;14049
Apollo Executive Beach Resort;12/01/2019;39;116;10;12378
Aruba Lodge;12/01/2019;63;157;18;16934
Alletra Haven;12/01/2019;63;242;27;19357
dHCI Platinum Beach Resort;12/01/2019;60;133;19;1536
GreenLake Platinum Heritage Inn;12/01/2019;70;173;9;23881
Pointnext Signature Residences & Suites;12/01/2019;63;132;7;21109
ProLiant Place;12/01/2019;51;160;21;16272
Synergy Golden Grand Hotel;12/01/2019;63;305;32;20915
Alletra Resort;12/01/2019;55;197;21;17645
GreenLake Digital Business Suites;12/01/2019;43;89;6;13753
Apollo Resort & Spa;12/01/2019;72;169;28;22338
Nimble Inn;12/01/2019;50;142;26;14912
Ezmeral Grand Hotel;12/01/2019;40;182;21;16189
Alletra Boutique Hotel;12/01/2019;50;221;43;19866
Simplivity Golden Plaza Hotel;12/01/2019;61;251;33;14642
Cray Villas;12/01/2019;46;190;35;15467
Apollo Diamond Suites;12/01/2019;65;229;15;14113
Apollo Towers;12/01/2019;42;183;9;13854
Alletra Diamond Grand Hotel;13/01/2019;53;233;30;16787
ProLiant Towers;13/01/2019;38;111;22;14263
Aruba Luxury Lodge;13/01/2019;57;245;42;11541
InfoSight Boutique Hotel;13/01/2019;55;122;14;16191
Primera Grand;13/01/2019;47;184;14;18783
dHCI Executive Boutique Hotel;13/01/2019;56;264;15;11991
ProLiant Haven;13/01/2019;43;107;10;1540
Apollo Executive Beach Resort;13/01/2019;54;252;44;13107
Aruba Lodge;13/01/2019;63;177;25;19042
Alletra Haven;13/01/2019;45;176;24;14726
dHCI Platinum Beach Resort;13/01/2019;50;193;35;13376
GreenLake Platinum Heritage Inn;13/01/2019;73;155;27;13486
Pointnext Signature Residences & Suites;13/01/2019;75;323;28;15662
ProLiant Place;13/01/2019;59;227;12;2139
Synergy Golden Grand Hotel;13/01/2019;56;219;20;13343
Alletra Resort;13/01/2019;70;225;26;21641
GreenLake Digital Business Suites;13/01/2019;47;152;18;12898
Apollo Resort & Spa;13/01/2019;44;201;19;18095
Nimble Inn;13/01/2019;52;124;13;16041
Ezmeral Grand Hotel;13/01/2019;48;163;14;1218
Alletra Boutique Hotel;13/01/2019;38;109;11;13477
Simplivity Golden Plaza Hotel;13/01/2019;44;195;37;15746
Cray Villas;13/01/2019;43;150;19;13589
Apollo Diamond Suites;13/01/2019;51;105;20;15256
Apollo Towers;13/01/2019;68;179;18;12487
Alletra Diamond Grand Hotel;14/01/2019;45;170;29;15553
ProLiant Towers;14/01/2019;39;140;24;12261
Aruba Luxury Lodge;14/01/2019;58;162;16;15478
InfoSight Boutique Hotel;14/01/2019;31;99;13;9307
Primera Grand;14/01/2019;47;134;14;13933
dHCI Executive Boutique Hotel;14/01/2019;47;133;26;16096
ProLiant Haven;14/01/2019;33;78;5;10763
Apollo Executive Beach Resort;14/01/2019;40;146;15;10154
Aruba Lodge;14/01/2019;49;172;21;10344
Alletra Haven;14/01/2019;34;140;23;11931
dHCI Platinum Beach Resort;14/01/2019;34;129;16;1063
GreenLake Platinum Heritage Inn;14/01/2019;49;144;15;15942
Pointnext Signature Residences & Suites;14/01/2019;56;162;16;19877
ProLiant Place;14/01/2019;47;163;21;14164
Synergy Golden Grand Hotel;14/01/2019;30;93;14;13879
Alletra Resort;14/01/2019;48;140;25;18172
GreenLake Digital Business Suites;14/01/2019;50;103;12;19671
Apollo Resort & Spa;14/01/2019;55;270;36;13003
Nimble Inn;14/01/2019;31;116;8;1200
Ezmeral Grand Hotel;14/01/2019;49;211;22;17952
Alletra Boutique Hotel;14/01/2019;37;77;14;9513
Simplivity Golden Plaza Hotel;14/01/2019;30;99;11;10478
Cray Villas;14/01/2019;36;116;19;15228
Apollo Diamond Suites;14/01/2019;57;259;41;18746
Apollo Towers;14/01/2019;46;120;11;15692
Alletra Diamond Grand Hotel;15/01/2019;46;144;27;13829
ProLiant Towers;15/01/2019;47;142;14;16957
Aruba Luxury Lodge;15/01/2019;53;214;36;13102
InfoSight Boutique Hotel;15/01/2019;45;115;10;14523
Primera Grand;15/01/2019;37;178;35;14407
dHCI Executive Boutique Hotel;15/01/2019;52;136;21;13497
ProLiant Haven;15/01/2019;41;150;28;15018
Apollo Executive Beach Resort;15/01/2019;39;92;13;11862
Aruba Lodge;15/01/2019;42;187;36;15959
Alletra Haven;15/01/2019;39;82;15;9516
dHCI Platinum Beach Resort;15/01/2019;59;196;17;16553
GreenLake Platinum Heritage Inn;15/01/2019;36;161;14;12647
Pointnext Signature Residences & Suites;15/01/2019;38;91;12;1326
ProLiant Place;15/01/2019;37;79;14;1037
Synergy Golden Grand Hotel;15/01/2019;37;79;8;14008
Alletra Resort;15/01/2019;33;133;9;14666
GreenLake Digital Business Suites;15/01/2019;59;145;21;21292
Apollo Resort & Spa;15/01/2019;45;154;12;18175
Nimble Inn;15/01/2019;40;114;6;1515
Ezmeral Grand Hotel;15/01/2019;50;186;24;17231
Alletra Boutique Hotel;15/01/2019;59;124;23;15831
Simplivity Golden Plaza Hotel;15/01/2019;56;141;26;21768
Cray Villas;15/01/2019;42;183;14;15492
Apollo Diamond Suites;15/01/2019;57;272;49;10806
Apollo Towers;15/01/2019;48;182;34;13016
Alletra Diamond Grand Hotel;16/01/2019;44;218;28;13746
ProLiant Towers;16/01/2019;60;144;18;14274
Aruba Luxury Lodge;16/01/2019;55;128;9;15548
InfoSight Boutique Hotel;16/01/2019;38;157;8;11362
Primera Grand;16/01/2019;39;144;23;10269
dHCI Executive Boutique Hotel;16/01/2019;57;223;24;15576
ProLiant Haven;16/01/2019;40;90;13;10478
Apollo Executive Beach Resort;16/01/2019;34;116;22;8446
Aruba Lodge;16/01/2019;42;113;18;17214
Alletra Haven;16/01/2019;39;146;19;1094
dHCI Platinum Beach Resort;16/01/2019;41;167;9;10069
GreenLake Platinum Heritage Inn;16/01/2019;39;96;14;1610
Pointnext Signature Residences & Suites;16/01/2019;58;238;23;12162
ProLiant Place;16/01/2019;59;284;29;13506
Synergy Golden Grand Hotel;16/01/2019;60;144;10;19973
Alletra Resort;16/01/2019;49;152;23;18845
GreenLake Digital Business Suites;16/01/2019;54;195;29;12759
Apollo Resort & Spa;16/01/2019;37;149;20;14527
Nimble Inn;16/01/2019;46;153;23;10319
Ezmeral Grand Hotel;16/01/2019;48;112;19;18468
Alletra Boutique Hotel;16/01/2019;36;133;9;10962
Simplivity Golden Plaza Hotel;16/01/2019;46;152;23;16196
Cray Villas;16/01/2019;45;102;12;16778
Apollo Diamond Suites;16/01/2019;44;105;11;14362
Apollo Towers;16/01/2019;47;159;27;16499
Alletra Diamond Grand Hotel;17/01/2019;42;116;5;1103
ProLiant Towers;17/01/2019;32;68;6;8608
Aruba Luxury Lodge;17/01/2019;31;148;8;13889
InfoSight Boutique Hotel;17/01/2019;31;88;6;894
Primera Grand;17/01/2019;50;246;36;14204
dHCI Executive Boutique Hotel;17/01/2019;58;182;32;21319
ProLiant Haven;17/01/2019;42;94;18;16546
Apollo Executive Beach Resort;17/01/2019;34;134;13;9614
Aruba Lodge;17/01/2019;47;149;10;1890
Alletra Haven;17/01/2019;56;112;5;13942
dHCI Platinum Beach Resort;17/01/2019;51;212;24;13969
GreenLake Platinum Heritage Inn;17/01/2019;37;101;10;1074
Pointnext Signature Residences & Suites;17/01/2019;59;272;44;1128
ProLiant Place;17/01/2019;51;166;27;19114
Synergy Golden Grand Hotel;17/01/2019;30;81;4;11564
Alletra Resort;17/01/2019;44;166;25;9828
GreenLake Digital Business Suites;17/01/2019;53;113;13;16021
Apollo Resort & Spa;17/01/2019;54;247;14;15842
Nimble Inn;17/01/2019;39;105;19;13394
Ezmeral Grand Hotel;17/01/2019;48;182;27;12878
Alletra Boutique Hotel;17/01/2019;39;180;35;12966
Simplivity Golden Plaza Hotel;17/01/2019;43;124;7;17457
Cray Villas;17/01/2019;58;243;18;18674
Apollo Diamond Suites;17/01/2019;47;163;31;18551
Apollo Towers;17/01/2019;51;160;20;17202
Alletra Diamond Grand Hotel;18/01/2019;43;105;11;15788
ProLiant Towers;18/01/2019;45;122;10;17218
Aruba Luxury Lodge;18/01/2019;34;150;28;12224
InfoSight Boutique Hotel;18/01/2019;60;194;25;15661
Primera Grand;18/01/2019;38;99;14;15809
dHCI Executive Boutique Hotel;18/01/2019;57;177;23;20155
ProLiant Haven;18/01/2019;31;86;12;11838
Apollo Executive Beach Resort;18/01/2019;57;126;21;17398
Aruba Lodge;18/01/2019;51;187;22;18969
Alletra Haven;18/01/2019;40;116;21;10694
dHCI Platinum Beach Resort;18/01/2019;36;175;11;15797
GreenLake Platinum Heritage Inn;18/01/2019;45;213;32;15834
Pointnext Signature Residences & Suites;18/01/2019;42;199;26;15714
ProLiant Place;18/01/2019;42;142;20;11791
Synergy Golden Grand Hotel;18/01/2019;41;145;18;9909
Alletra Resort;18/01/2019;53;180;31;19992
GreenLake Digital Business Suites;18/01/2019;41;120;6;16185
Apollo Resort & Spa;18/01/2019;53;129;11;20208
Nimble Inn;18/01/2019;48;199;18;11683
Ezmeral Grand Hotel;18/01/2019;37;116;20;12395
Alletra Boutique Hotel;18/01/2019;50;241;24;17634
Simplivity Golden Plaza Hotel;18/01/2019;45;220;32;13915
Cray Villas;18/01/2019;35;146;15;948
Apollo Diamond Suites;18/01/2019;47;162;30;14796
Apollo Towers;18/01/2019;50;243;31;18391
Alletra Diamond Grand Hotel;19/01/2019;47;100;5;10992
ProLiant Towers;19/01/2019;58;127;9;13337
Aruba Luxury Lodge;19/01/2019;54;117;17;20486
InfoSight Boutique Hotel;19/01/2019;71;282;14;19657
Primera Grand;19/01/2019;48;98;15;14943
dHCI Executive Boutique Hotel;19/01/2019;44;154;23;13189
ProLiant Haven;19/01/2019;67;155;9;13695
Apollo Executive Beach Resort;19/01/2019;50;178;30;12673
Aruba Lodge;19/01/2019;48;149;16;15224
Alletra Haven;19/01/2019;60;173;30;11967
dHCI Platinum Beach Resort;19/01/2019;72;308;19;17661
GreenLake Platinum Heritage Inn;19/01/2019;59;127;6;12922
Pointnext Signature Residences & Suites;19/01/2019;56;220;21;21546
ProLiant Place;19/01/2019;46;218;18;17892
Synergy Golden Grand Hotel;19/01/2019;66;226;12;12581
Alletra Resort;19/01/2019;68;319;42;12247
GreenLake Digital Business Suites;19/01/2019;69;141;11;1389
Apollo Resort & Spa;19/01/2019;67;320;30;19257
Nimble Inn;19/01/2019;59;237;31;15429
Ezmeral Grand Hotel;19/01/2019;60;262;40;11941
Alletra Boutique Hotel;19/01/2019;63;136;15;21867
Simplivity Golden Plaza Hotel;19/01/2019;54;232;44;14684
Cray Villas;19/01/2019;64;133;12;24105
Apollo Diamond Suites;19/01/2019;53;162;30;14878
Apollo Towers;19/01/2019;65;258;16;19542
Alletra Diamond Grand Hotel;20/01/2019;63;260;16;13243
ProLiant Towers;20/01/2019;67;165;17;16533
Aruba Luxury Lodge;20/01/2019;37;178;20;14334
InfoSight Boutique Hotel;20/01/2019;40;90;10;13456
Primera Grand;20/01/2019;57;131;8;17018
dHCI Executive Boutique Hotel;20/01/2019;63;274;49;11455
ProLiant Haven;20/01/2019;54;234;37;16443
Apollo Executive Beach Resort;20/01/2019;51;181;27;11829
Aruba Lodge;20/01/2019;47;131;9;11272
Alletra Haven;20/01/2019;49;142;23;13439
dHCI Platinum Beach Resort;20/01/2019;68;283;35;20187
GreenLake Platinum Heritage Inn;20/01/2019;50;120;6;13957
Pointnext Signature Residences & Suites;20/01/2019;70;219;39;18163
ProLiant Place;20/01/2019;58;285;20;1452
Synergy Golden Grand Hotel;20/01/2019;68;233;17;17216
Alletra Resort;20/01/2019;49;206;29;19384
GreenLake Digital Business Suites;20/01/2019;63;187;17;21202
Apollo Resort & Spa;20/01/2019;47;225;17;19074
Nimble Inn;20/01/2019;50;215;11;17272
Ezmeral Grand Hotel;20/01/2019;68;225;21;21223
Alletra Boutique Hotel;20/01/2019;67;269;19;15758
Simplivity Golden Plaza Hotel;20/01/2019;53;130;14;14296
